rodada,instancia,LS,break,TT,tempo,Cmax
38,3,nao,sim,0,0.621,1219.0
38,4,nao,sim,49,0.745,1227.0
38,5,nao,sim,119,0.61,1382.0
38,6,nao,sim,1149,0.607,1242.0
38,7,nao,sim,123,0.698,1397.0
38,8,nao,sim,0,0.693,1280.0
38,9,nao,sim,0,0.708,1387.0
38,10,nao,sim,2,0.633,1197.0
39,1,nao,sim,294,0.656,1342.0
39,2,nao,sim,1015,0.725,1472.0
39,3,nao,sim,0,0.673,1216.0
39,4,nao,sim,24,0.695,1248.0
39,5,nao,sim,123,0.586,1382.0
39,6,nao,sim,1144,0.847,1242.0
39,7,nao,sim,155,0.656,1405.0
39,8,nao,sim,2,0.637,1247.0
39,9,nao,sim,0,0.716,1392.0
39,10,nao,sim,5,0.765,1200.0
40,1,nao,sim,284,0.792,1383.0
40,2,nao,sim,946,0.728,1472.0
40,3,nao,sim,0,0.704,1229.0
40,4,nao,sim,22,0.78,1220.0
40,5,nao,sim,125,0.692,1382.0
40,6,nao,sim,1125,0.644,1293.0
40,7,nao,sim,129,0.731,1397.0
40,8,nao,sim,0,0.705,1270.0
40,9,nao,sim,13,0.59,1409.0
40,10,nao,sim,5,0.616,1200.0
